date,keyword,amazon_rank,avg_price,est_sales,competition_level,reviews_avg
2025-06-24,brain games for seniors,1,19.29,2000,high,3.8388364898099465
2025-06-24,brain games for seniors,2,15.58,2000,high,4.931998332825188
2025-06-24,brain games for seniors,3,18.6,2000,high,3.9776436386538156
2025-06-24,brain games for seniors,4,21.96,2000,medium,4.609610758069272
2025-06-24,brain games for seniors,5,11.39,2000,high,3.850481918183381
2025-06-24,brain games for seniors,6,15.45,2000,high,3.7562062985377125
2025-06-24,brain games for seniors,7,7.81,2000,high,4.71328164350686
2025-06-24,brain games for seniors,8,10.0,2000,medium,3.640206757828204
2025-06-24,brain games for seniors,9,12.06,2000,high,4.164449007698609
2025-06-24,brain games for seniors,10,17.37,2000,high,4.248624507977477
2025-06-24,logic puzzles adults,1,23.8,2000,high,3.9756222602248745
2025-06-24,logic puzzles adults,2,17.7,2000,medium,3.944704939137316
2025-06-24,logic puzzles adults,3,18.28,2000,medium,4.886825250103235
2025-06-24,logic puzzles adults,4,11.95,2000,high,4.749405238726694
2025-06-24,logic puzzles adults,5,7.38,2000,high,3.640091527115366
2025-06-24,logic puzzles adults,6,23.5,2000,high,4.687316959747463
2025-06-24,logic puzzles adults,7,9.35,2000,medium,3.621964034713243
2025-06-24,logic puzzles adults,8,19.88,2000,high,4.945518202451732
2025-06-24,logic puzzles adults,9,22.11,2000,high,4.738439011454425
2025-06-24,logic puzzles adults,10,12.15,1220,medium,3.571798054516671
2025-06-24,cryptogram puzzle books,1,12.65,2000,high,4.009540140964745
2025-06-24,cryptogram puzzle books,2,14.62,2000,high,4.007489379143751
2025-06-24,cryptogram puzzle books,3,13.07,2000,high,4.755085278163055
2025-06-24,cryptogram puzzle books,4,17.76,2000,high,4.284257078161831
2025-06-24,cryptogram puzzle books,5,11.5,1200,medium,4.644537911809815
2025-06-24,cryptogram puzzle books,6,11.52,2000,medium,4.3942351927872725
2025-06-24,cryptogram puzzle books,7,20.08,2000,high,4.641446150673925
2025-06-24,cryptogram puzzle books,8,24.25,2000,high,3.702134835885437
2025-06-24,cryptogram puzzle books,9,24.31,2000,high,4.184175401090265
2025-06-24,cryptogram puzzle books,10,16.9,2000,high,4.515090396524149
2025-06-24,kakuro puzzle books,1,14.29,2000,medium,4.302682143239242
2025-06-24,kakuro puzzle books,2,7.87,2000,high,3.662109660604369
2025-06-24,kakuro puzzle books,3,20.41,2000,high,4.7319488113843535
2025-06-24,kakuro puzzle books,4,16.23,2000,high,4.737708045463358
2025-06-24,kakuro puzzle books,5,23.18,2000,high,3.813464978022424
2025-06-24,kakuro puzzle books,6,10.14,2000,high,3.866367568338712
2025-06-24,kakuro puzzle books,7,18.31,2000,high,3.6433767266750094
2025-06-24,kakuro puzzle books,8,7.19,2000,high,4.053074846354986
2025-06-24,kakuro puzzle books,9,21.1,2000,high,4.37719470455019
2025-06-24,kakuro puzzle books,10,21.39,2000,medium,4.575087154686319
2025-06-24,maze books for adults,1,11.34,2000,high,3.7477473115341438
2025-06-24,maze books for adults,2,18.29,2000,high,4.949926159961416
2025-06-24,maze books for adults,3,22.97,2000,medium,4.290152654976849
2025-06-24,maze books for adults,4,8.87,2000,high,3.991501331402133
2025-06-24,maze books for adults,5,7.11,2000,high,4.057516940172429
2025-06-24,maze books for adults,6,19.45,2000,high,3.5398921093488456
2025-06-24,maze books for adults,7,19.89,2000,high,4.0298635213296
2025-06-24,maze books for adults,8,21.19,2000,high,4.6137223701854495
2025-06-24,maze books for adults,9,14.98,2000,high,4.088873912153027
2025-06-24,maze books for adults,10,11.77,2000,medium,4.278945994462652
2025-06-24,brain teasers for adults,1,7.15,2000,high,3.841396395859411
2025-06-24,brain teasers for adults,2,19.41,2000,high,4.146648998257571
2025-06-24,brain teasers for adults,3,18.57,2000,high,4.227651349578461
2025-06-24,brain teasers for adults,4,14.61,2000,high,3.809185927814025
2025-06-24,brain teasers for adults,5,15.13,2000,high,3.6341368360885693
2025-06-24,brain teasers for adults,6,22.27,2000,medium,4.642421014078284
2025-06-24,brain teasers for adults,7,8.08,2000,high,4.875347032878786
2025-06-24,brain teasers for adults,8,19.14,2000,high,4.148765946151081
2025-06-24,brain teasers for adults,9,14.08,2000,high,4.5312286674696765
2025-06-24,brain teasers for adults,10,17.46,2000,high,4.75331465761533
2025-06-24,activity books for seniors,1,23.99,2000,high,4.145466206576653
2025-06-24,activity books for seniors,2,24.08,2000,medium,4.153846509213594
2025-06-24,activity books for seniors,3,14.58,2000,high,4.0985851875168295
2025-06-24,activity books for seniors,4,21.79,2000,high,4.822476542198151
2025-06-24,activity books for seniors,5,10.72,2000,high,4.885993878200495
2025-06-24,activity books for seniors,6,12.0,2000,medium,3.960096602115746
2025-06-24,activity books for seniors,7,12.2,2000,high,4.190578594071184
2025-06-24,activity books for seniors,8,8.55,2000,high,4.0438294026769555
2025-06-24,activity books for seniors,9,23.33,2000,high,4.447306530757517
2025-06-24,activity books for seniors,10,14.46,2000,high,4.237873099365018
