date,keyword,amazon_rank,avg_price,est_sales,competition_level,reviews_avg
2025-06-25,logic puzzles adults,2,20.41,1610,medium,4.544580010902523
2025-06-25,logic puzzles adults,3,23.1,2000,high,4.235141990170487
2025-06-25,logic puzzles adults,4,7.32,2000,high,3.527487838747254
2025-06-25,logic puzzles adults,5,23.71,2000,high,3.7282111041897084
2025-06-25,logic puzzles adults,6,16.14,2000,high,3.7567560272968223
2025-06-25,logic puzzles adults,7,23.61,2000,high,4.907329741394657
2025-06-25,logic puzzles adults,8,22.52,2000,high,4.885820109915973
2025-06-25,logic puzzles adults,9,8.23,2000,high,3.7188336948530494
2025-06-25,logic puzzles adults,10,13.62,2000,high,4.145694537354589
2025-06-25,cryptogram puzzle books,1,16.42,2000,high,4.359206880256121
2025-06-25,cryptogram puzzle books,2,16.83,2000,high,4.004412301132783
2025-06-25,cryptogram puzzle books,3,19.67,2000,high,4.516182402633552
2025-06-25,cryptogram puzzle books,4,10.25,2000,high,4.688619812379534
2025-06-25,cryptogram puzzle books,5,10.88,2000,high,4.437345757716232
2025-06-25,cryptogram puzzle books,6,9.86,2000,high,3.758322511837491
2025-06-25,cryptogram puzzle books,7,12.69,2000,medium,3.72956272920041
2025-06-25,cryptogram puzzle books,8,9.62,2000,high,3.5268069702114877
2025-06-25,cryptogram puzzle books,9,19.6,2000,high,3.5083734305364325
2025-06-25,cryptogram puzzle books,10,11.45,2000,medium,4.10636771254706
2025-06-25,kakuro puzzle books,1,24.32,2000,high,3.6782083380487562
2025-06-25,kakuro puzzle books,2,22.37,2000,high,4.032597795777596
2025-06-25,kakuro puzzle books,3,7.91,2000,high,4.9013211497458755
2025-06-25,kakuro puzzle books,4,12.96,2000,high,3.680049013309126
2025-06-25,kakuro puzzle books,5,16.97,2000,high,4.622107968642441
2025-06-25,kakuro puzzle books,6,14.55,2000,high,3.6492272528402228
2025-06-25,kakuro puzzle books,7,19.97,2000,high,3.6322661664422267
2025-06-25,kakuro puzzle books,8,22.91,2000,high,3.774142291846261
2025-06-25,kakuro puzzle books,9,13.67,2000,high,3.834916834216279
2025-06-25,kakuro puzzle books,10,19.78,2000,high,4.153423330148669
2025-06-25,maze books for adults,1,16.15,2000,high,4.470996336466344
2025-06-25,maze books for adults,2,15.67,2000,high,4.462773033402847
2025-06-25,maze books for adults,3,9.99,2000,high,4.673131725293506
2025-06-25,maze books for adults,4,15.62,2000,high,4.21191440587763
2025-06-25,maze books for adults,5,19.88,2000,high,4.369744548998719
2025-06-25,maze books for adults,6,21.24,2000,high,3.9189338324583525
2025-06-25,maze books for adults,7,15.06,2000,high,4.999982940155197
2025-06-25,maze books for adults,8,9.57,2000,high,4.476304944209523
2025-06-25,maze books for adults,9,21.01,2000,high,4.005392167255288
2025-06-25,maze books for adults,10,17.34,2000,high,4.938909610457526
2025-06-25,brain teasers for adults,1,23.99,2000,medium,4.814075516595575
2025-06-25,brain teasers for adults,2,12.38,2000,high,4.868433712385964
2025-06-25,brain teasers for adults,3,16.57,2000,medium,4.5316717994106135
2025-06-25,brain teasers for adults,4,23.17,2000,high,3.5044282106161653
2025-06-25,brain teasers for adults,5,13.25,2000,high,4.156949873099844
2025-06-25,brain teasers for adults,6,15.14,2000,medium,4.188683359502044
2025-06-25,brain teasers for adults,7,12.81,2000,high,4.434124037110319
2025-06-25,brain teasers for adults,8,23.13,2000,medium,3.7241508122061924
2025-06-25,brain teasers for adults,9,8.86,2000,high,4.12046305739423
2025-06-25,brain teasers for adults,10,23.95,2000,high,4.759374819536878
2025-06-25,activity books for seniors,1,19.87,2000,high,4.776821146405368
2025-06-25,activity books for seniors,2,14.47,2000,high,4.090249907736019
2025-06-25,activity books for seniors,3,23.12,2000,high,3.5497759958267445
2025-06-25,activity books for seniors,4,21.81,2000,medium,4.766066047893893
2025-06-25,activity books for seniors,5,12.88,2000,high,4.83430280812656
2025-06-25,activity books for seniors,6,21.43,2000,high,4.607917533029733
2025-06-25,activity books for seniors,7,10.31,2000,high,3.6258249694312905
2025-06-25,activity books for seniors,8,8.99,2000,high,4.6762188667110385
2025-06-25,activity books for seniors,9,22.95,2000,high,4.047496716098635
2025-06-25,activity books for seniors,10,10.16,2000,high,4.879359473841307
